snapshot_time,product_id,pricePerUnit,amount,orders,tier_rank
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_5,30002.1,1,1,3
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_5,30002.0,9,1,4
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_5,30001.8,253,1,5
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_5,30001.7,256,1,6
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_5,30001.3,30,1,7
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_4,1.2,251,1,0
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_4,1.0,10,1,1
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_3,5.3,247,1,0
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_3,5.2,29,1,1
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_3,5.1,20,1,2
2025-04-28 18:24:02,ENCHANTMENT_CORRUPTION_3,5.0,187,1,3
2025-04-28 18:24:02,PROTECTOR_FRAGMENT,9706.9,19,1,0
2025-04-28 18:24:02,PROTECTOR_FRAGMENT,9706.8,4480,1,1
2025-04-28 18:24:02,PROTECTOR_FRAGMENT,9706.7,7282,1,2
2025-04-28 18:24:02,PROTECTOR_FRAGMENT,9705.9,997,1,3
2025-04-28 18:24:02,PROTECTOR_FRAGMENT,9705.7,193,1,4
2025-04-28 18:24:02,PROTECTOR_FRAGMENT,9705.6,9213,1,5
2025-04-28 18:24:02,PROTECTOR_FRAGMENT,9704.9,891,1,6
2025-04-28 18:24:02,PROTECTOR_FRAGMENT,9704.1,1993,1,7
2025-04-28 18:24:02,PROTECTOR_FRAGMENT,9703.7,364,1,8
2025-04-28 18:24:02,PROTECTOR_FRAGMENT,9703.5,48,1,9
